,star_ra_deg,star_dec_deg,star_distance_pc,star_radius_solar,star_teff_k,planet_orbit_semi_major_axis_au,planet_orbit_eccentricity,planet_orbit_inclination_deg,planet_radius_earth,planet_equilibrium_temp_k,planet_orbital_period_days,star_luminosity_solar,ra_rad,dec_rad,star_cartesian_x,star_cartesian_y,star_cartesian_z,star_habitable_zone_inner_au,star_habitable_zone_outer_au
46,224.201685,74.9009379,162.552,10.3,4847.0,0.49,0.06,,13.6,,93.4,1.725,3.9130575917691828,1.3072679791868074,-30.355248928914033,-29.52092669769689,156.94020024637686,1.2522706649050828,1.8040834185624774
47,39.4243555,-3.3963607,101.26,11.21,4734.0,2.104,0.037,,13.1,,1005.57,1.76,0.6880848089517353,-0.05927767680033937,78.08228767322355,64.19311984894247,-5.998942888148896,1.2649110640673518,1.8222938064376808
48,348.9745031,-9.0878076,44.0304,11.0,4665.0,0.7,0.027,,13.1,,181.4,1.692,6.090754084606158,-0.15861216440776382,42.67520189368185,-8.314928852751402,-6.954511173847864,1.2402345819165896,1.7867436386310933
49,73.9410446,30.5510888,162.127,2.96,9770.0,93.9,0.4,42.6,12.5,,,1.771,1.2905146806339736,0.5332170896291634,38.622545070507314,134.17161458083845,82.41019950253472,1.268857754044952,1.8279796043616745
50,94.8039208,-58.0541184,50.0475,1.0,5285.0,260.0,,,12.3,,,-0.226,1.6546405617599367,-1.0132355104226225,-2.217681536718899,26.388009147363427,-42.46771854115029,,
51,81.7699216,-11.9011752,26.8564,1.25,6130.0,8.4,0.24,50.0,13.1,1400.0,8030.0,0.29,1.4271543610176298,-0.20771469209669466,3.7618162777044613,26.00847226267716,-5.538441099655257,0.5134553180524705,0.7397092748646287
52,311.2911369,-31.34245,9.7221,0.82,3665.0,0.0645,0.186,89.5,3.957,600.0,8.4629991,-0.99,5.433055271181415,-0.5470289481416968,5.479286089324932,-6.238886611451774,-5.05697006227821,,
53,311.2911369,-31.34245,9.7221,0.82,3665.0,0.1101,0.00338,89.227,3.24,459.0,18.858991,-0.99,5.433055271181415,-0.5470289481416968,5.479286089324932,-6.238886611451774,-5.05697006227821,,
54,311.2911369,-31.34245,9.7221,0.74,3678.0,,0.00305,89.318,1.02,,12.73596,-1.038,5.433055271181415,-0.5470289481416968,5.479286089324932,-6.238886611451774,-5.05697006227821,,
55,177.5647268,2.7601075,1070.63,32.35,4095.0,1.3,0.2,,12.7,,481.9,2.7,3.0990891180642146,0.04817296358398939,-1068.4221635128984,45.439085347161104,51.55547436724249,1.5666989036012806,2.2570643815898364
