,pl_name,hostname,ra,dec,sy_dist,st_rad,st_teff,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_rade,pl_eqt,pl_orbper,st_lum,sy_snum,disc_year,ra_rad,dec_rad,X,Y,Z,habitable_zone_inner,habitable_zone_outer,habitable_zone_center_au,habitable_zone_width_au,hz_score,size_score,temp_score,eccentricity_score,habitability_score,snr,habitable
20,2MASS J12073346-3932539 b,2MASS J12073346-3932539,181.8890906,-39.5484399,64.308,0.22,2825.0,55.0,,,12.9,1250.0,,-2.561,1,2004,3.1745635044282685,-0.690250490282097,-49.56008347843912,-1.634630485912139,-40.946855468822925,,,,,,1.777375579568326e-31,1.0583152181622371e-196,,,0.006438273134667049,False
21,2MASS J19383260+4603591 b,2MASS J19383260+4603591,294.6359173,46.0664076,396.332,0.2,29564.0,0.92,0.33,,13.4,,406.0,1.45,2,2015,5.142366851518721,0.804010487185739,114.62756956149552,-249.9542284868295,285.41628927231596,1.1481209945740989,1.654040222184386,1.4010806083792424,0.25295961380514354,0.0,4.0873349728658875e-34,,0.6699999999999999,,0.5402262159114555,False
22,2MASS J21252752-8138278 b,2MASS J21252752-8138278,321.3662989,-81.6414894,34.1154,0.67,3592.0,7493.0,,,12.4,1616.0,,-1.168,1,2024,5.608900020753231,-1.4249127962620498,3.8739276795501567,-3.096248307042207,-33.753021315354175,,,,,,6.019280276816486e-29,0.0,,,1.0562836928671606e-05,False
23,2MASS J22362452+4751425 b,2MASS J22362452+4751425,339.1025931,47.861683,69.5737,0.64,4045.0,230.0,,,12.3,,,-1.021,1,2016,5.918456751645604,0.8353439538957972,43.608085014673456,-16.650047013057964,51.590799446276975,,,,,,1.8727025544562063e-28,,,,0.0024200497743781493,False
24,30 Ari B b,30 Ari B,39.2412736,24.6480103,44.657,1.41,6331.0,0.99,0.29,,12.3,,335.10001,0.381,4,2009,0.6848894269959283,0.4301889338004753,31.43508768863432,25.675561202339807,18.623868232802064,0.5885266658050732,0.8478607931307485,0.7181937294679108,0.12966706366283764,0.0,1.8727025544562063e-28,,0.71,,1538.8595010692977,True
25,4 UMa b,4 UMa,130.0528099,64.3280504,73.4603,18.11,4415.0,0.877,0.453,,12.6,,270.27,2.062,1,2006,2.2698497342252772,1.1227362808688552,-20.47873759730914,24.359975555476705,66.20897653224323,1.3691404071699347,1.972451783374146,1.6707960952720402,0.30165568810210563,0.0,6.0348608059710055e-30,,0.5469999999999999,,125450.79242377981,True
26,42 Dra b,42 Dra,276.4975053,65.5633652,90.6545,22.03,4200.0,1.19,0.38,,13.0,,479.1,2.155,2,2008,4.825791841035472,1.1442965914274708,4.2437873556140255,-37.26166798798509,82.5336097470812,1.3996752870187101,2.0164418503515185,1.7080585686851144,0.30838328166640416,0.0,5.380186160021138e-32,,0.62,,70476.2913537715,True
27,47 UMa b,47 UMa,164.8647611,40.4304931,13.7967,1.21,5872.0,2.1,0.032,,13.2,,1078.0,0.198,1,1996,2.8774329017088687,0.705645222799849,-10.137665731731706,2.742042201244645,8.94750629886708,0.4242640687119285,0.6112159239257248,0.5177399963188266,0.09347592760689813,0.0,4.7841485558169035e-33,,0.968,,3038.992103892996,True
28,47 UMa c,47 UMa,164.8647611,40.4304931,13.7967,1.21,5872.0,3.6,0.098,,14.2,,2391.0,0.198,1,2001,2.8774329017088687,0.705645222799849,-10.137665731731706,2.742042201244645,8.94750629886708,0.4242640687119285,0.6112159239257248,0.5177399963188266,0.09347592760689813,0.0,1.4597037932095943e-38,,0.902,,1196.718448038633,True
29,47 UMa d,47 UMa,164.8647611,40.4304931,13.7967,1.21,5872.0,11.6,0.16,,13.5,,14002.0,0.198,1,2009,2.8774329017088687,0.705645222799849,-10.137665731731706,2.742042201244645,8.94750629886708,0.4242640687119285,0.6112159239257248,0.5177399963188266,0.09347592760689813,0.0,1.1769109439216723e-34,,0.84,,104.17700250076787,True
